rank,filename,subtype,split_assignment,review_priority,hard_reasons,soft_reasons,soft_count,baseline_noise_ratio,param_sensitivity,topk_spread,peak_over_baseline,topk_count,walk_baseline_contamination,topk_cand_frames_clean,rise_frame_original,exclude_candidate,recommendation
1,E4_S02_A_FALL_WALK_B_T007.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,baseline_noise_high;baseline_mad_high,2,3.0572,9.0,2,1.62,5,True,102|101|100,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 202(clean 102). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
2,E4_S03_A_FALL_WALK_B_T008.csv,FALL_WALK_B,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.93032,,,1.236,0,True,,,False,"weak transient (search max 1.24x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
3,E3_S03_A_FALL_WALK_B_T010.csv,FALL_WALK_B,train,high,rise_not_found,baseline_noise_high,1,1.74988,,,1.128,0,True,,,False,"weak transient (search max 1.13x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
4,E4_S03_A_FALL_WALK_F_T001.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.64729,,,1.552,0,True,,,False,"weak transient (search max 1.55x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
5,E2_S02_A_FALL_WALK_F_T001.csv,FALL_WALK_F,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,baseline_noise_high;baseline_mad_high,2,1.61072,1.0,2,1.955,4,True,None|None|None,191,False,auto rise(frame 191.0) in beep/early; no clean in-window candidate → likely no_clear_transient. manual review. Recommendation only. Final onset decision must be approved by Jinkyu.
6,E4_S02_A_FALL_WALK_F_T004.csv,FALL_WALK_F,train,high,frame_mapping_failed;peak_in_beep_region;peak_outside_expected_fall_original_200_400;rise_in_beep_region;rise_too_early_original_lt_200,baseline_noise_high;baseline_mad_high,2,1.56335,5.0,2,3.758,33,True,None|100|None,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 200(clean 100). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
7,E2_S02_A_FALL_WALK_F_T009.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.55929,,,1.266,0,True,,,False,"weak transient (search max 1.27x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
8,E2_S02_A_FALL_WALK_F_T006.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.55659,,,1.159,0,True,,,False,"weak transient (search max 1.16x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
9,E3_S03_A_FALL_WALK_F_T002.csv,FALL_WALK_F,train,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.46431,,,1.355,0,True,,,False,"weak transient (search max 1.36x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
10,E4_S02_A_FALL_WALK_B_T010.csv,FALL_WALK_B,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,baseline_noise_high,1,1.34374,26.0,10,5.299,36,True,144|143|134,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 244(clean 144). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
